126521286053724160,#GOOGLE #ANDROID 4.0 out ;-) Available with #SAMSUNG nexus!,google,positive
126520029410885632,"Maybe not the most efficient way to browse, but fun: #Google releases an Infinite Digital Bookcase http://t.co/X1qzeX7f by @MeghanKel",google,positive
126519483752914944,@jowyang it's difficult to pass up #google+ considering the social seo benefits of google+ vs facebook,google,positive
126519329025040384,Ice Cream Sandwich to stop carriers bullying smartphone users #google #android http://t.co/BZNy74Nn,google,positive
126519123772588032,"I agree with @wellis68 that the ""Hangouts"" on #Google+ are friggin' awesome!”",google,positive
126518882939838464,#google #galaxynexus #icecream great,google,positive
126516779886456832,Google Earth Helps Locate Salmonella Hotspots http://t.co/mcz9RSDf #google,google,positive
126515760855134208,#samsung galaxy nexus = orbital laser. #apple iphone 4s = wooden stick #google,google,positive
126513620686352384,Ice Cream Sandwich u r really delicious Can ditch iPhone for u that's for sure. #Google launches #Android4 aka #IceCreamSandwich :),google,positive
126513526385819648,#google+ (: lovin it,google,positive
126513425043030016,"""Samsung and Google have closely collaborated to push the mobile experience forward. We are pleased to ... http://t.co/ecT8fYIA #Google+",google,positive
126512728297844736,RT @RoycinD: FINALLY ! Power + Volume = Screenshot. No more rooting required! #Google #ICS #galaxynexus,google,positive
126512631937904640,I want the new #google #galaxynexus. Android 4.0 is going to be the fucks,google,positive
126512208451600384,#Google #Nexus press conference http://t.co/2WV01o5v #slick,google,positive
126511545160171520,S/O to #google for getting me through high school and college....you are appreciated,google,positive
126511426926944256,iScream u scream v all scream #android #IceCreamSandwich. A job well done by #google and a major game changer in the #mobile #OS space,google,positive
126510977335300096,@VentureBeat I like the #google virtual bookcase thank you for sharing,google,positive
126510551789604864,"#Google's #IceCreamSandwich was revealed. I'm getting an #Android whenever I get a new phone, but I'm keeping my #iPhone for now.",google,positive
126509929619132417,"#Android #Google Ice Cream Sandwich Feature Closer Look - Roboto Type Face Is ""A Pleasure"" To Read http://t.co/DJsp2G5B #DhilipSiva",google,positive
126509528287166464,Fantastic work from #Samsung and #Google on the #GalaxyNexus superphone and the new #Android #ICS. Very impressive.,google,positive
126507456019968000,i love #google,google,positive
126507105023819776,#Google is the best invention ever!!,google,positive
126506410195431424,"i need a hookup, stop teasing me #google http://t.co/07YR58wL i want the new #nexus",google,positive
126506064387637249,"well.....#google's #icecreamsandwich and new accompanying phone are, as usual, neat, but nothing ground-breaking",google,positive
126505384428052481,#Android #Google Device Frame Generator Updated For Galaxy Nexus - Your Screenshots Just Got Prettier http://t.co/9bWt2W6z #DhilipSiva,google,positive
126505187752943616,"Mmm... #SmarterPhone RT @Android: Introducing Ice Cream Sandwich, the delicious new version of Android: http://t.co/AXl2K1Gs #ICS #google",google,positive
126505144878772224,So so excited for all of the new Android features! Awesomeness :) #Android #ICS #Google #GalaxyNexus,google,positive
126504782465732608,#IceCreamSandwich went way and beyond what I expected. Can't wait to get it on my Nexus to play with! #Google,google,positive
126504452680187905,"Check this video out -- Introducing Galaxy Nexus. Simple, beautiful, beyond smart http://t.co/fiTI6ZIA 透過 @youtube #android #nexus #google",google,positive
126504346639802368,"Cream on the inside, clean on the outside. Ice Cream phone job. #Google",google,positive
126504013939216384,RT @Mr_Lister: Loves the new presentations tool for Google Docs - particularly themes and adding video via URL #google #sd33 #edchat #ed ...,google,positive
126503805369069568,#Google's like my wife - searches things for me and completes my sentences.,google,positive
126503790412181504,"#Android 4.0 Ice Cream: Introducing Galaxy Nexus. Simple, beautiful, beyond smart http://t.co/vUWgyx3N #Google",google,positive
126503029548654593,http://t.co/Izh7KaiU #google #nexus #prime &lt;3 #android,google,positive
126502415322193920,Interesting bookcase..RT @VentureBeat: #Google releases an Infinite Digital Bookcase http://t.co/urxJixCe by @MeghanKel,google,positive
126502014560649216,#google is my bff rite about now!,google,positive
126501468902658048,Good to see #Google finally turning their focus on user experience. http://t.co/AYhOKgo8 #IceCreamSandwich #Android,google,positive
